Issue,EventId,Cur,Event,Period,Date,Time,PreviousRaw,PriorActual,PreviousEffective,Details
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-02-11,01:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-02-16,22:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-03-14,22:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-03-21,00:45,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-03-23,00:45,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-03-26,20:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-03-28,00:45,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-03-30,00:45,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-04-10,07:15,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-04-14,01:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-04-26,02:15,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-05-10,21:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-06-21,02:15,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-07-24,20:45,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-08-06,21:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-08-08,02:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-08-31,22:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-09-14,02:15,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-10-02,00:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-11-16,02:20,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-11-21,01:15,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-11-27,21:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2012-12-13,03:15,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2012-01-12,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2012-03-01,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2012-04-12,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2012-06-07,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2012-07-19,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2012-08-30,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2012-10-11,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2012-11-29,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-01-27,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-02-17,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-03-16,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-04-13,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-05-07,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-05-28,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-06-20,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-07-18,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-08-14,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-09-24,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-10-11,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-11-02,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-11-20,08:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-11-26,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2012-12-26,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2012-01-04,03:15,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2012-02-16,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2012-04-04,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2012-05-17,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2012-07-12,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2012-08-23,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2012-10-05,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2012-11-15,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,AUD::rba bulletin::none,AUD,RBA Bulletin,,2012-03-15,08:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,AUD::rba bulletin::none,AUD,RBA Bulletin,,2012-06-21,09:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,AUD::rba bulletin::none,AUD,RBA Bulletin,,2012-09-13,09:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,AUD::rba bulletin::none,AUD,RBA Bulletin,,2012-12-20,08:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,CHF::snb board member jordan speaks::none,CHF,SNB Board Member Jordan Speaks,,2012-02-29,01:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::boj monthly report::none,JPY,BoJ Monthly Report,,2012-01-25,13:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::boj monthly report::none,JPY,BoJ Monthly Report,,2012-02-15,13:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::boj monthly report::none,JPY,BoJ Monthly Report,,2012-03-14,13:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::boj monthly report::none,JPY,BoJ Monthly Report,,2012-04-11,13:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::boj monthly report::none,JPY,BoJ Monthly Report,,2012-05-24,13:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::boj monthly report::none,JPY,BoJ Monthly Report,,2012-06-18,13:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::boj monthly report::none,JPY,BoJ Monthly Report,,2012-07-13,13:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::boj monthly report::none,JPY,BoJ Monthly Report,,2012-08-10,13:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::boj monthly report::none,JPY,BoJ Monthly Report,,2012-09-20,13:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::boj monthly report::none,JPY,BoJ Monthly Report,,2012-10-09,13:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::boj monthly report::none,JPY,BoJ Monthly Report,,2012-11-21,13:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::boj monthly report::none,JPY,BoJ Monthly Report,,2012-12-21,13:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::mba delinquency rates::q/q,USD,MBA Delinquency Rates (QoQ),,2012-08-09,22:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,EUR::spanish business confidence::none,EUR,Spanish Business Confidence,,2012-01-02,Tentative,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,PEN::trade balance::none,PEN,Trade Balance,,2012-09-14,22:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
