Patch,EventId,Cur,Event,Period,Date,Time,PreviousRaw,PriorActual,PreviousEffective
previous_missing_filled,USD::philly fed new orders::none,USD,Philly Fed New Orders  (May),may,2016-05-19,20:30,,0.0,0.0
previous_missing_filled,EUR::italian retail sales::m/m,EUR,Italian Retail Sales (MoM)  (Feb),feb,2016-04-22,17:00,,0.0%,0.0%
previous_missing_filled,KRW::ppi::m/m,KRW,PPI (MoM)  (Mar),mar,2016-04-20,05:00,,0.0%,0.0%
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2016-01-14,03:00,,0.00,0.00
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2016-03-03,03:00,,0.00,0.00
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2016-04-14,02:00,,0.00,0.00
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2016-06-02,02:00,,0.00,0.00
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2016-07-14,02:00,,0.00,0.00
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2016-09-08,02:00,,0.00,0.00
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2016-10-20,02:00,,0.00,0.00
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2016-12-01,03:00,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-02-03,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-03-18,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-05-09,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-06-21,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-08-03,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-09-27,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-11-07,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-12-26,07:50,,0.00,0.00
previous_missing_filled,INR::bank loan growth::none,INR,Bank Loan Growth,,2016-12-23,19:30,,11.0%,11.0%
previous_missing_filled,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-01-07,03:00,,0.00,0.00
previous_missing_filled,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-02-18,03:00,,0.00,0.00
previous_missing_filled,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-04-07,02:00,,0.00,0.00
previous_missing_filled,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-05-19,02:00,,0.00,0.00
previous_missing_filled,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-07-07,02:00,,0.00,0.00
previous_missing_filled,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-08-18,02:00,,0.00,0.00
